dataset,ir,rho,seed,ece,brier,auc,pr_auc,f1
phoneme,2.41,0.5,3,0.0313926748311967,0.0768854570211274,0.9552816782784408,0.9029435123936705,0.826060233558697
phoneme,2.41,0.5,4,0.029404225514318608,0.07497025644322437,0.9571284755227942,0.9047281379554813,0.8329744693940326
phoneme,2.41,0.5,5,0.02639161461789189,0.07303126483125563,0.9587439070388687,0.9045398999638533,0.8357473035439137
phoneme,2.41,0.5,6,0.03253967100242459,0.07517503314268945,0.9564213320192333,0.9032801105916872,0.8333333333333334
phoneme,2.41,0.5,7,0.03478074532728271,0.0792154910880721,0.9545382032543794,0.8958437035309801,0.8164014687882497
phoneme,2.41,0.5,8,0.030603072339156004,0.07545121137876323,0.9555488800973948,0.9033924438802092,0.8329238329238329
phoneme,2.41,0.5,9,0.03183969055647654,0.07702717480932295,0.9553645802024922,0.9001164690237873,0.8258495145631068
phoneme,2.41,0.75,0,0.03467359571893008,0.07581279027420612,0.9583142042373121,0.9079364949824691,0.8290468986384266
phoneme,2.41,0.75,1,0.03259613472206397,0.07516977748118149,0.9590986347935744,0.9134329670190434,0.8294762484774665
phoneme,2.41,0.75,2,0.035952616460458095,0.07523349798192404,0.9578859877252306,0.9056726250602076,0.8332829046898639
phoneme,2.41,0.75,3,0.03809322665788507,0.07852028465236738,0.956015079562727,0.9058072952115394,0.8258646616541353
phoneme,2.41,0.75,4,0.03476024945940071,0.07713904278236845,0.956406964554308,0.9054656877706007,0.8264965056213917
phoneme,2.41,0.75,5,0.02954824978235293,0.07470584565178007,0.9589415835390469,0.9056875823652032,0.8327272727272728
phoneme,2.41,0.75,6,0.034977304717352185,0.07444926442643507,0.9585932963720665,0.9082102461255446,0.8380493678506924
phoneme,2.41,0.75,7,0.037083215144510906,0.07716036701637176,0.9569187435635407,0.9031701109794914,0.8303598427577865
phoneme,2.41,0.75,8,0.038317549446565125,0.07669331878418022,0.9569327807419161,0.905923198666427,0.8300633866586176
phoneme,2.41,0.75,9,0.03462831763948709,0.07741392246353203,0.956733122522438,0.9017491431327677,0.8265460030165912
phoneme,2.41,1.0,0,0.03943664569638359,0.07806194675411628,0.9570032969203421,0.9032074012971902,0.8273381294964028
phoneme,2.41,1.0,1,0.04053219969871795,0.0775970106453273,0.9573165737130219,0.90956828318339,0.8280216476247745
phoneme,2.41,1.0,2,0.03792173485361601,0.07662441720475646,0.9580174417721327,0.9068682629736328,0.8289315726290516
phoneme,2.41,1.0,3,0.04150273626030478,0.07928791625180379,0.9552185935473898,0.9057036828057958,0.8203898050974513
phoneme,2.41,1.0,4,0.03854075079840081,0.07783232297316091,0.9565917598790359,0.9038489390924628,0.8295896975142258
phoneme,2.41,1.0,5,0.03921266341580236,0.07827649291612195,0.9567598757329884,0.9020216859273796,0.8274415817855003
phoneme,2.41,1.0,6,0.041834776388853065,0.0771958874644237,0.9577829383216292,0.9058542012821369,0.8355714712026261
phoneme,2.41,1.0,7,0.03999358127527687,0.07958053410921376,0.9552489799099904,0.8941963273578697,0.8254252461951657
phoneme,2.41,1.0,8,0.040238463727172054,0.07630837076506784,0.9576359608068767,0.9076641980892969,0.8342342342342343
phoneme,2.41,1.0,9,0.03926034941347414,0.07878349795327495,0.956011446410677,0.8991548888540181,0.826722338204593
adult,3.18,0.0,0,0.03372152659715628,0.09721790266109603,0.9164972193816441,0.7988105493529211,0.6799775028121485
adult,3.18,0.0,1,0.03545995322905244,0.09723255533812236,0.9161282304242664,0.7995589793445785,0.6861971830985916
adult,3.18,0.0,2,0.036945006397390914,0.09763343685268548,0.9166309483638698,0.7998238806621298,0.6884604638167086
adult,3.18,0.0,3,0.034050630359699116,0.09713178333765587,0.9162556915312419,0.8006630803592164,0.6828032648466085
adult,3.18,0.0,4,0.0316079124769773,0.09704027806227124,0.9163487651856451,0.8005614975499933,0.6813063063063063
adult,3.18,0.0,5,0.037592823122471836,0.098460192480027,0.9137815980334328,0.7954921797591087,0.6769662921348315
adult,3.18,0.0,6,0.03252490302872115,0.09577491234739637,0.9179942112308304,0.8042026540570247,0.6922209695603156
adult,3.18,0.0,7,0.03509044505741719,0.09644668181286432,0.9167578084417118,0.8020496765805387,0.6867435969603152
adult,3.18,0.0,8,0.035172161057483796,0.09777414369008047,0.915484785806096,0.7968545510637403,0.6789458770189856
adult,3.18,0.0,9,0.03301743736904999,0.09640522611509533,0.9172268687498337,0.8024128382621715,0.6871476888387824
adult,3.18,0.25,0,0.031730161287277965,0.09644388015671983,0.9167593539451981,0.800813814654814,0.6877271456527817
adult,3.18,0.25,1,0.03507560714852368,0.09779128221578158,0.9158348852764175,0.7963272124863596,0.6857460405668241
adult,3.18,0.25,2,0.03613596636850208,0.09755014876705438,0.9162162811923388,0.7990686513932438,0.6861761426978819
adult,3.18,0.25,3,0.03232883403369005,0.09579585763777632,0.9173622720275031,0.8028545703227726,0.6932136848008974
