dataset,ir,seed,base_ece,base_brier,base_auc,base_pr_auc,base_f1,smote_ece,smote_brier,smote_auc,smote_pr_auc,smote_f1,smote_iso_ece,smote_iso_brier,smote_iso_auc,smote_iso_pr_auc,smote_iso_f1,smote_prior_ece,smote_prior_brier,smote_prior_auc,smote_prior_pr_auc,smote_prior_f1
credit_g,2.33,0,0.149320725808332,0.19278738931187725,0.7719761904761905,0.5968656336851973,0.5559701492537313,0.15994565703146818,0.19913586873718142,0.7716238095238095,0.5936676680203921,0.5340699815837937,0.036886054307219855,0.17154406450523044,0.7555880952380952,0.5761243108319383,0.4901185770750988,0.16568002570064758,0.20015262798547934,0.7716238095238095,0.5936676680203921,0.5010266940451745
credit_g,2.33,1,0.1562560678574596,0.19374285819675047,0.7702428571428571,0.6209529756238705,0.5301645338208409,0.1608591254114707,0.19859965703452634,0.7630000000000001,0.613594982672554,0.5308411214953271,0.036143451214146124,0.1799273029854032,0.7340142857142857,0.5435520505601451,0.46247464503042596,0.16406355628791316,0.1974391845173327,0.7630000000000001,0.613594982672554,0.49897750511247446
credit_g,2.33,2,0.1636022729567442,0.20060545070483418,0.7638095238095238,0.5945238742370227,0.5274336283185841,0.16396183400357886,0.20202920434907298,0.7681190476190477,0.5989080241114522,0.5412186379928315,0.041139974259010635,0.17722266062333483,0.7467000000000001,0.5546841635685534,0.4893203883495146,0.1710848612787469,0.2017034776419652,0.7681190476190477,0.5989080241114522,0.5096525096525096
credit_g,2.33,3,0.1519444480777604,0.19648151076604217,0.7673476190476191,0.6070836463369822,0.5315985130111525,0.16925248963461498,0.2008606711223827,0.7639952380952381,0.6076025833385762,0.5398550724637681,0.043133797996995515,0.1765569808264409,0.7531547619047619,0.551598148900342,0.5168539325842697,0.1616199658168383,0.19741234937675503,0.7639952380952381,0.6076025833385762,0.5208747514910537
credit_g,2.33,4,0.16462952178044307,0.19884532574573638,0.7673285714285715,0.5940391455840073,0.5263157894736842,0.17428545349735425,0.20442671629772755,0.7624571428571429,0.6025941870393711,0.5296296296296297,0.05894668879030287,0.17951989739773716,0.7407809523809524,0.5503666398218218,0.497131931166348,0.17409394757780158,0.20258541185528517,0.7624571428571429,0.6025941870393711,0.49899396378269617
credit_g,2.33,5,0.13848508289436318,0.18397887610251906,0.7734714285714285,0.641032350769568,0.5423728813559322,0.1406495724729852,0.186401341657299,0.7726,0.6384593811117432,0.5677655677655677,0.03533755304370559,0.17236142358933546,0.7557499999999999,0.5894610579450891,0.4662309368191721,0.14860807925367756,0.18627993035570034,0.7726,0.6384593811117432,0.5219206680584552
credit_g,2.33,6,0.14976840729252353,0.19045006834991746,0.776495238095238,0.6087151561382023,0.5215759849906192,0.17097225041171626,0.19967084867658869,0.7764333333333333,0.6161978439161511,0.5138632162661737,0.04477849097898137,0.1734760843130181,0.7592595238095239,0.5751576687200859,0.501010101010101,0.16802674540422308,0.1983701047381506,0.7764333333333333,0.6161978439161511,0.5030674846625767
credit_g,2.33,7,0.1357481253321896,0.18841793333463897,0.7737666666666667,0.6221401700616189,0.5637342908438061,0.15632832954530027,0.1956181715271634,0.7652047619047619,0.6109826696737755,0.5498154981549815,0.045888227654231575,0.17761422876260868,0.7408428571428572,0.5634123911776897,0.48507462686567165,0.1613499197974418,0.19630876295005806,0.7652047619047619,0.6109826696737755,0.4875
credit_g,2.33,8,0.14810915806195782,0.19111077119748188,0.7792952380952382,0.6274722216205206,0.5601436265709157,0.16841647801817153,0.19724367625498077,0.7724571428571428,0.6182426416119574,0.5427509293680297,0.03709952177984147,0.17910259486285401,0.7373595238095241,0.5552633002748988,0.4498977505112474,0.15794060153387926,0.1961293735094474,0.7724571428571428,0.6182426416119574,0.5173116089613035
credit_g,2.33,9,0.15415791287259922,0.19192302650508106,0.7700380952380953,0.629510457910787,0.5357798165137615,0.16867910397244612,0.20485732601699486,0.7578809523809524,0.5992638814112132,0.525328330206379,0.05705117972398731,0.1768303293297319,0.7450000000000001,0.5811299021863675,0.45217391304347826,0.1720041434353236,0.20351212407827346,0.7578809523809524,0.5992638814112132,0.4948453608247423
